,y,x,lon,lat,geometry_x,index_right,voronoi_id_x,OBJECTID,name,amenity,healthcare,healthcare_speciality,operator,operator_type,contact_phone,contact_website,contact_email,contact_fax,addr,address_full,address_street,address_housenumber,address_postcode,address_city,address_housename,address_suburb,address_subdistrict,address_district,address_province,address_state,denomination,religion,emergency,rooms,beds,capacity,wheelchair,wikidata,wikipedia,ORIG_FID,GlobalID,geometry_y,voronoi_id_y,travel_time
0,6038520.34159245,504523.44664824987,9.069838,54.494283,POINT (504523.44664824987 6038520.34159245),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,4.620671351351352
1,6037281.307667813,502616.08067632286,9.040379,54.483161,POINT (502616.08067632286 6037281.307667813),7.0,7.0,12092.0,Dr. med. Ronan Steinhart,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{699BF0E7-018C-41A2-921B-8C4F6A84749E},POINT (503031.4562641241 6036863.369720797),7.0,3.29379891891892
2,6037275.074870223,502613.10399185406,9.040333,54.483105,POINT (502613.10399185406 6037275.074870223),7.0,7.0,12092.0,Dr. med. Ronan Steinhart,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{699BF0E7-018C-41A2-921B-8C4F6A84749E},POINT (503031.4562641241 6036863.369720797),7.0,3.316177297297298
3,6035845.746323012,503351.7036190689,9.051717,54.470255,POINT (503351.7036190689 6035845.746323012),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,3.297343783783785
4,6036024.765058069,503333.2320077449,9.051434,54.471864,POINT (503333.2320077449 6036024.765058069),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,2.706661621621622
5,6036028.352139767,503369.2615133638,9.05199,54.471896,POINT (503369.2615133638 6036028.352139767),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,2.774944864864865
6,6035127.652029561,505370.17019448814,9.082849,54.463784,POINT (505370.17019448814 6035127.652029561),4.0,4.0,24236.0,Dr. med. Ernst-Helmut Müller,doctors,doctor,,,,,,,,,,Am Ehrenhain,16,25866,Mildstedt,,,,,,,,,,,,,limited,,,19079.0,{99E06CBB-11A5-443C-AEF9-94C722294F98},POINT (505967.5082834433 6035343.05063949),4.0,3.243937297297297
7,6038199.781700399,502891.4958069705,9.044639,54.491414,POINT (502891.4958069705 6038199.781700399),9.0,9.0,14732.0,Uro-Praxis-Nord,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,{FB16AB6F-51F9-4B0D-BBAA-CA79DFF647EE},POINT (503327.33198565734 6037272.0906744385),9.0,9.132392333472346
8,6039583.558007891,500693.46590926335,9.010709,54.503858,POINT (500693.46590926335 6039583.558007891),9.0,9.0,14732.0,Uro-Praxis-Nord,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,{FB16AB6F-51F9-4B0D-BBAA-CA79DFF647EE},POINT (503327.33198565734 6037272.0906744385),9.0,12.118277837837837
9,6036215.8451251965,503059.3632050929,9.04721,54.473583,POINT (503059.3632050929 6036215.8451251965),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,1.608081081081081
10,6035134.801685655,505394.2743541284,9.083221,54.463848,POINT (505394.2743541284 6035134.801685655),4.0,4.0,24236.0,Dr. med. Ernst-Helmut Müller,doctors,doctor,,,,,,,,,,Am Ehrenhain,16,25866,Mildstedt,,,,,,,,,,,,,limited,,,19079.0,{99E06CBB-11A5-443C-AEF9-94C722294F98},POINT (505967.5082834433 6035343.05063949),4.0,3.1489751351351347
11,6038542.394561952,505268.73681448697,9.081345,54.494474,POINT (505268.73681448697 6038542.394561952),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,7.494538378378382
12,6036109.342687062,503350.9267415166,9.051708,54.472624,POINT (503350.9267415166 6036109.342687062),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,2.4531210810810813
13,6036120.574796154,503342.623493817,9.05158,54.472725,POINT (503342.623493817 6036120.574796154),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,2.458702702702703
14,6036126.49529785,503374.17899079365,9.052067,54.472778,POINT (503374.17899079365 6036126.49529785),3.0,3.0,16233.0,Praxis ohne Grenzen,doctors,doctor,,Diakonisches Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B2E794E0-8AF5-4704-B658-9D917EBC687A},POINT (503347.8105594618 6036531.941358078),3.0,2.3553145945945952
15,6037150.14182116,503010.6624364659,9.046468,54.48198,POINT (503010.6624364659 6037150.14182116),7.0,7.0,12092.0,Dr. med. Ronan Steinhart,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{699BF0E7-018C-41A2-921B-8C4F6A84749E},POINT (503031.4562641241 6036863.369720797),7.0,0.9824108108108109
16,6036945.885634327,507141.0925780513,9.110214,54.480103,POINT (507141.0925780513 6036945.885634327),2.0,2.0,6362.0,Praxis Harald Körner,doctors,doctor,,,,,,,,,,Mauweg,35,25866,Mildstedt,,,,,,,,,,,,,yes,,,,{3D81FC51-3443-49A2-BC7E-6E16C7AB5C90},POINT (506029.23332314467 6035590.365035542),2.0,7.304153513513514
17,6036909.736871449,507428.4441126712,9.114648,54.479774,POINT (507428.4441126712 6036909.736871449),2.0,2.0,6362.0,Praxis Harald Körner,doctors,doctor,,,,,,,,,,Mauweg,35,25866,Mildstedt,,,,,,,,,,,,,yes,,,,{3D81FC51-3443-49A2-BC7E-6E16C7AB5C90},POINT (506029.23332314467 6035590.365035542),2.0,8.240724324324326
18,6037998.27231276,505257.25216797006,9.081158,54.489584,POINT (505257.25216797006 6037998.27231276),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,5.122368648648649
19,6036945.469892061,508338.66494250513,9.128697,54.480081,POINT (508338.66494250513 6036945.469892061),2.0,2.0,6362.0,Praxis Harald Körner,doctors,doctor,,,,,,,,,,Mauweg,35,25866,Mildstedt,,,,,,,,,,,,,yes,,,,{3D81FC51-3443-49A2-BC7E-6E16C7AB5C90},POINT (506029.23332314467 6035590.365035542),2.0,8.835143554054053
20,6038018.957925116,505248.0946515321,9.081017,54.48977,POINT (505248.0946515321 6038018.957925116),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,5.174711351351352
21,6037648.926969782,502778.53977436846,9.04289,54.486464,POINT (502778.53977436846 6037648.926969782),9.0,9.0,14732.0,Uro-Praxis-Nord,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,{FB16AB6F-51F9-4B0D-BBAA-CA79DFF647EE},POINT (503327.33198565734 6037272.0906744385),9.0,2.807772972972973
22,6036960.297829639,508941.4070427001,9.138,54.480204,POINT (508941.4070427001 6036960.297829639),2.0,2.0,6362.0,Praxis Harald Körner,doctors,doctor,,,,,,,,,,Mauweg,35,25866,Mildstedt,,,,,,,,,,,,,yes,,,,{3D81FC51-3443-49A2-BC7E-6E16C7AB5C90},POINT (506029.23332314467 6035590.365035542),2.0,6.882357608108109
23,6038005.581099452,505226.7981003589,9.080688,54.48965,POINT (505226.7981003589 6038005.581099452),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,5.079434594594595
24,6037988.904273229,505238.6716274508,9.080871,54.4895,POINT (505238.6716274508 6037988.904273229),0.0,0.0,19679.0,Gemeinschaftspraxis Husum,doctors,doctor,,Carsten Philipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,{84FC446C-314C-4270-B04F-0CF12E0DC25B},POINT (504035.3906897929 6037264.69532552),0.0,5.049304864864865
25,6032991.867400444,508349.6525982312,9.128755,54.444549,POINT (508349.6525982312 6032991.867400444),4.0,4.0,24236.0,Dr. med. Ernst-Helmut Müller,doctors,doctor,,,,,,,,,,Am Ehrenhain,16,25866,Mildstedt,,,,,,,,,,,,,limited,,,19079.0,{99E06CBB-11A5-443C-AEF9-94C722294F98},POINT (505967.5082834433 6035343.05063949),4.0,12.238715675675671
26,6037674.732598453,502763.88318708085,9.042664,54.486696,POINT (502763.88318708085 6037674.732598453),9.0,9.0,14732.0,Uro-Praxis-Nord,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,{FB16AB6F-51F9-4B0D-BBAA-CA79DFF647EE},POINT (503327.33198565734 6037272.0906744385),9.0,2.9039870270270267
27,6033008.68118318,508356.30131573963,9.128858,54.4447,POINT (508356.30131573963 6033008.68118318),4.0,4.0,24236.0,Dr. med. Ernst-Helmut Müller,doctors,doctor,,,,,,,,,,Am Ehrenhain,16,25866,Mildstedt,,,,,,,,,,,,,limited,,,19079.0,{99E06CBB-11A5-443C-AEF9-94C722294F98},POINT (505967.5082834433 6035343.05063949),4.0,12.17267675675675
28,6033002.660103911,508349.4383192565,9.128752,54.444646,POINT (508349.4383192565 6033002.660103911),4.0,4.0,24236.0,Dr. med. Ernst-Helmut Müller,doctors,doctor,,,,,,,,,,Am Ehrenhain,16,25866,Mildstedt,,,,,,,,,,,,,limited,,,19079.0,{99E06CBB-11A5-443C-AEF9-94C722294F98},POINT (505967.5082834433 6035343.05063949),4.0,12.202780540540537
